0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2020-01-01,72.02,136.71,127.71,127.71,127.71,72.02,72.02,72.02,72.02,72.02,72.02,136.71,136.71,136.71,136.71,136.67,127.71,72.02,183.93,406.73,213.73,213.73,213.73,136.71
2020-01-02,71.34,71.34,71.34,71.34,71.34,73.95,73.95,137.88,185.1,387.9,387.9,387.9,307.9,357.8,357.8,357.8,357.8,307.9,397.9,387.9,357.8,307.9,307.9,307.9
2020-01-03,116.31,116.31,126.29,126.29,135.29,126.29,123.46,275.31,275.31,275.31,275.31,275.31,275.31,275.31,275.31,275.31,275.31,275.31,285.31,285.31,275.31,275.31,275.31,275.31
2020-01-04,144.36,144.36,144.36,144.36,134.34,144.36,134.34,144.36,188.36,255.36,255.36,255.36,255.36,255.36,255.36,255.36,255.36,255.36,255.36,255.36,255.36,255.36,255.36,188.36
2020-01-05,209.12,209.12,188.12,188.12,188.12,188.12,180.62,157.12,188.12,188.12,209.12,209.12,305.12,305.12,209.12,209.12,188.12,209.12,305.12,305.12,305.12,305.12,305.12,209.12
2020-01-06,205.19,190.49,205.19,190.49,190.49,190.49,190.49,190.49,205.19,205.19,205.19,205.19,205.19,216.19,205.19,205.19,205.19,205.19,250.19,251.19,251.19,216.19,216.19,205.19
2020-01-07,184.8,184.8,184.8,184.8,184.8,184.8,184.8,225.3,213.8,225.3,304.31,325.8,325.8,325.8,325.8,325.8,325.8,304.31,325.8,325.8,325.8,325.8,225.3,213.8
2020-01-08,209.78,209.78,185.4,184.28,201.28,209.78,209.78,217.28,245.18,245.18,245.18,334.28,334.28,304.28,334.28,334.28,304.28,245.18,304.28,404.28,334.28,250.28,245.18,250.28
2020-01-09,303.39,218.88,207.88,207.88,207.88,207.88,207.88,218.88,309.78,309.78,309.78,353.88,353.88,353.88,353.88,353.88,353.88,309.78,309.78,353.88,309.78,309.78,309.78,309.78
2020-01-10,244.84,244.84,244.84,244.84,244.84,244.84,244.84,303.84,305.84,305.84,305.84,331.95,331.95,403.84,423.84,403.84,331.95,305.84,331.95,331.95,331.95,305.84,305.84,303.84
2020-01-11,303.88,266.89,200.89,185.89,185.89,185.89,185.89,266.89,310.99,310.99,334.89,334.89,334.89,334.89,334.89,334.89,334.89,310.99,334.89,334.89,334.89,334.89,310.99,303.39
2020-01-12,304.03,254.03,254.03,254.03,194.03,194.03,180.53,185.14,254.03,304.03,362.14,362.14,362.14,362.14,362.14,362.14,324.03,324.03,374.03,374.03,374.03,374.03,374.03,354.03
2020-01-13,318.92,318.92,303.92,303.92,303.92,303.92,305.92,319.06,348.92,348.92,348.92,403.92,403.92,403.92,403.92,403.92,403.92,348.92,403.92,403.92,403.92,348.92,348.92,348.92
2020-01-14,309.75,309.75,309.75,309.75,309.75,309.75,309.75,313.75,313.75,313.75,323.75,333.75,333.75,333.75,403.75,333.75,333.75,313.75,323.75,313.75,313.75,313.75,313.75,313.75
2020-01-15,284.07,284.07,284.07,284.07,284.07,284.07,284.07,302.08,344.07,344.07,389.17,389.17,404.07,404.07,404.07,404.07,404.07,389.17,389.17,389.17,389.17,344.07,344.07,314.07
2020-01-16,349.59,349.59,283.52,314.6,283.52,349.59,349.59,349.59,354.59,354.59,404.59,404.59,389.59,389.59,389.59,389.59,389.59,354.59,389.59,389.59,389.59,354.59,349.59,349.59
2020-01-17,325.12,355.12,310.12,310.12,310.12,325.12,325.12,325.12,355.12,385.12,385.12,385.12,385.12,385.12,385.12,385.12,385.12,355.12,385.12,385.12,385.12,385.12,355.12,325.12
2020-01-18,323.5,314.5,309.5,304.49,306.0,309.5,274.5,314.5,344.5,382.5,394.5,394.5,394.5,394.5,382.5,382.5,382.5,344.5,394.5,414.5,394.5,382.5,374.5,323.5
2020-01-19,328.7,328.7,318.7,318.7,318.7,318.7,313.7,318.7,318.7,328.7,328.7,328.7,328.7,328.7,328.7,328.7,328.7,318.7,328.7,328.7,328.7,328.7,328.7,328.7
2020-01-20,390.71,383.71,323.7,323.7,305.21,323.7,393.71,393.71,398.71,453.71,501.71,501.71,453.71,463.71,501.71,501.71,503.71,398.71,463.71,501.71,398.71,390.71,389.8,383.71
2020-01-21,374.25,372.25,354.25,304.24,304.24,374.25,372.25,390.22,404.25,404.25,502.25,502.25,502.25,502.25,502.25,502.25,404.25,404.25,502.25,502.25,404.25,390.22,372.25,372.25
2020-01-22,369.06,341.06,341.06,341.06,341.06,371.06,371.06,391.06,391.06,391.06,394.06,394.06,391.06,391.06,391.06,391.06,391.06,391.06,391.06,394.06,391.06,391.06,391.06,371.06
