0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1997-01-01,36.72627,26.65227,26.65227,26.65227,26.65227,26.65227,17.22627,17.22627,21.72627,17.22627,21.72627,21.72627,26.65227,26.52627,26.22627,16.72627,16.72627,26.52627,26.65227,26.65227,26.65227,26.65227,26.52627,21.29727
1997-01-02,15.22627,15.22627,15.22627,15.22627,15.22627,15.22627,23.22627,25.12627,26.22627,26.52627,26.72627,26.72627,36.62627,36.72627,26.22627,23.22627,23.22627,16.92627,26.72627,26.72627,26.72627,26.52627,23.22627,23.22627
1997-01-03,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,26.09527,26.09527,23.67927,26.09527,26.09527,20.22627
1997-01-04,13.16627,13.16627,13.16627,13.16627,13.16627,15.22627,15.22627,15.22627,15.22627,15.22627,20.22627,20.22627,20.22627,15.22627,15.22627,15.22627,15.22627,15.22627,22.22627,22.22627,22.22627,22.22627,22.22627,13.18127
1997-01-05,12.94527,12.22127,13.17627,13.17627,13.17627,13.17627,13.17627,13.17627,13.22627,13.22627,15.22627,15.22627,15.22627,13.18127,13.17627,13.17627,13.17027,15.22627,22.22627,22.22627,22.22627,22.22627,22.22627,13.18127
1997-01-06,13.17627,13.17627,13.17627,13.17627,13.17627,13.17627,13.17627,13.22627,13.22627,13.22627,15.22627,19.84527,19.22627,19.84527,19.84527,15.22627,15.22627,15.22627,19.22627,19.22627,19.22627,19.22627,19.22627,19.84527
1997-01-07,15.22627,13.17627,13.17627,13.17627,13.17627,13.17627,13.22627,20.22627,20.22627,20.22627,19.22627,19.22627,23.22627,19.22627,20.22627,20.22627,20.22627,20.22627,25.22627,25.22627,24.77627,19.22627,19.22627,20.22627
1997-01-08,15.22627,15.22627,15.22627,15.22627,15.22627,15.22627,15.22627,22.22627,22.22627,22.22627,21.22627,21.22627,21.22627,21.22627,22.22627,22.22627,20.22627,22.22627,21.22627,27.22627,21.22627,21.22627,21.22627,15.22627
1997-01-09,15.22627,15.22627,15.22627,15.22627,15.22627,15.22627,13.22627,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,20.22627,13.22627,20.22627,27.22627,27.22627,20.22627,20.22627,20.22627,13.22627
1997-01-10,16.22627,16.22627,15.22627,15.22627,20.22627,15.22627,15.22627,16.22627,20.22627,20.22627,27.22627,27.22627,16.22627,20.22627,20.22627,20.22627,16.22627,20.22627,22.22627,22.22627,22.22627,20.22627,16.22627,15.22627
1997-01-11,27.22627,27.22627,20.22627,20.22627,27.22627,20.22627,27.22627,27.22627,27.22627,27.22627,27.22627,27.22627,27.22627,15.22627,15.22627,13.22627,13.22627,15.22627,20.22627,30.22627,20.22627,15.22627,27.22627,27.22627
1997-01-12,27.22627,27.22627,27.22627,27.22627,20.22627,13.22627,13.22627,13.22627,13.22627,13.22627,18.22627,18.22627,18.22627,13.22627,13.22627,13.22627,13.22627,13.22627,19.22627,20.22627,27.22627,15.22627,27.22627,13.22627
1997-01-13,13.17027,13.17027,13.17027,13.17027,13.17227,13.22627,13.22627,28.42627,35.22627,13.22627,13.22627,27.93527,18.22627,28.42627,28.42627,28.42627,28.42627,14.22627,28.22627,35.22627,27.93527,28.22627,13.22627,13.17227
1997-01-14,13.22627,13.22627,13.22627,13.22627,13.22627,17.22627,13.22627,13.22627,13.22627,13.22627,13.22627,28.42627,28.42627,28.42627,28.42627,28.42627,28.42627,14.22627,32.22627,35.12627,15.22627,30.22627,13.22627,15.22627
1997-01-15,15.22627,13.22627,13.22627,13.22627,13.22627,17.22627,17.22627,17.22627,28.42627,28.42627,28.42627,28.42627,13.22627,31.72627,28.42627,31.22627,31.22627,31.72627,34.82627,34.82627,31.72627,17.22627,28.42627,13.22627
1997-01-16,15.22627,13.17027,13.17027,13.17027,15.22627,17.22627,17.22627,17.22627,28.42627,13.22627,28.42627,28.42627,13.22627,31.72627,31.22627,31.22627,31.22627,32.76027,34.82627,37.58027,28.42627,17.22627,31.22627,28.22627
1997-01-17,13.22627,13.22627,13.22627,13.22627,13.22627,17.22627,17.22627,25.22627,25.22627,25.22627,25.22627,25.22627,13.22627,28.42627,28.42627,28.42627,28.42627,34.82627,34.82627,34.82627,17.22627,28.22627,28.42627,21.22627
1997-01-18,13.17027,13.17027,13.17027,13.17027,13.22627,13.17027,13.22627,25.22627,25.22627,25.22627,25.22627,25.22627,13.22627,28.42627,17.22627,17.22627,17.22627,34.82627,34.82627,34.82627,17.22627,28.22627,28.42627,15.22627
1997-01-19,15.22627,13.17027,13.17027,13.17027,13.17027,15.22627,13.17127,15.22627,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,17.22627,17.22627,15.22627,32.22627,15.22627,32.22627,17.22627,28.22627,20.22627,15.22627
1997-01-20,13.16927,13.16927,13.16927,13.16927,13.16927,13.22627,14.53027,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,17.22627,17.22627,17.22627,34.82627,34.82627,34.82627,17.22627,28.22627,28.22627,15.22627
1997-01-21,17.22627,15.22627,15.22627,15.22627,17.22627,17.22627,17.22627,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,20.22627,20.22627,20.22627,15.22627,33.82627,33.82627,17.22627,28.22627,20.22627,15.22627
1997-01-22,17.22627,17.22627,17.22627,17.22627,17.22627,17.22627,17.22627,17.22627,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,29.22627,32.22627,34.82627,18.22627,20.22627,28.22627,13.22627
1997-01-23,26.22627,13.22727,13.22727,13.22727,13.22727,17.22627,17.22627,17.22627,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,13.22727,31.83227,31.83227,20.22627,20.22627,20.22627,13.22627
1997-01-24,26.02627,13.42627,13.42627,13.42627,26.02627,26.02627,29.22627,32.76027,26.02627,26.02627,29.22627,29.22627,26.02627,13.42627,29.22627,29.22627,29.22627,13.42627,33.35927,33.35927,26.02627,33.77627,29.22627,13.42627
1997-01-25,25.22627,25.22627,25.22627,25.22627,26.02627,26.02627,13.42627,13.42627,26.02627,26.02627,26.02627,26.02627,26.02627,13.42627,13.42627,13.42627,13.42627,13.22727,30.22227,30.22227,25.22627,29.22627,26.02627,26.02627
1997-01-26,25.22627,25.22627,25.22627,25.22627,26.02627,13.42627,13.42627,26.02627,13.42627,13.42627,13.42627,13.42627,29.22627,29.22627,26.02627,26.02627,26.02627,13.22827,29.22627,33.32627,25.22627,29.22627,26.02627,26.02627
1997-01-27,25.22627,25.22627,25.22627,25.22627,25.22627,26.02627,26.02627,25.22627,26.02627,13.42627,26.02627,25.22627,13.42627,13.42627,13.42627,13.42627,13.42627,29.22627,33.82627,33.82627,25.22627,29.22627,26.02627,25.22627
1997-01-28,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,25.22627,13.42627,13.72627,25.22627,13.42627,13.42627,13.42627,13.42627,13.42627,29.22627,33.82627,33.82627,25.22627,25.22627,25.22627,13.42627
1997-01-29,25.22627,25.22627,25.22627,25.22627,20.22627,25.22627,20.22627,20.22627,20.22627,13.72627,13.72627,20.22627,13.72627,29.22627,29.22627,29.22627,29.22627,34.82627,33.82627,33.82627,20.22627,29.22627,25.22627,13.72627
1997-01-30,25.22627,25.22627,25.22627,25.22627,29.22627,25.22627,25.22627,20.22627,29.22627,23.27727,29.22627,29.22627,23.27727,30.72627,30.72627,30.22627,30.72627,29.22627,33.82627,33.82627,29.22627,25.22627,29.22627,13.72627
1997-01-31,29.72627,29.72627,29.72627,29.72627,29.72627,29.72627,29.72627,29.72627,29.72627,29.72627,29.72627,29.72627,29.72627,32.22627,32.22627,30.12627,32.22627,30.22627,33.82627,33.82627,30.07627,25.22627,30.22627,23.22627
1997-02-01,23.9948,23.9948,23.9948,15.4948,15.4948,24.9448,29.4948,29.4948,24.9448,24.9448,24.9448,29.4948,29.8948,29.4948,31.9948,31.9948,31.9948,29.8948,33.5948,33.5948,31.9948,40.4948,40.4948,29.8948
1997-02-02,31.9948,23.9948,23.9948,23.9948,23.9948,23.9948,24.4948,35.4948,39.9948,44.9448,23.9948,23.9948,23.9948,35.4948,31.9948,31.9948,31.9948,29.9948,33.5948,33.5948,22.9948,39.9948,24.4958,22.9948
1997-02-03,28.9948,28.9948,23.9948,28.9948,28.9948,29.4848,30.9638,30.9638,29.4948,27.9948,30.9638,30.9638,23.9948,40.7248,38.9948,38.9948,29.4948,29.4948,33.5848,33.5848,44.9948,40.7248,38.9948,23.9948
1997-02-04,28.9948,28.9948,28.9948,28.9948,28.9948,33.9948,23.9948,23.9948,28.9948,22.4108,20.9948,23.9948,23.9948,19.8948,19.8948,29.4948,19.8948,19.8948,32.9948,32.9948,23.9948,23.9948,32.0358,23.9948
1997-02-05,24.9948,24.9948,24.9948,24.9948,23.9948,38.9948,23.9948,28.9948,28.9948,19.8948,19.8948,23.9948,23.9948,17.9948,17.9948,17.9948,17.9948,17.9948,32.9948,32.9948,17.9948,23.9948,28.9948,23.9948
1997-02-06,38.9948,25.3448,28.5948,34.4948,23.9948,30.9948,18.9948,34.9948,28.9948,40.4948,44.9948,34.4948,23.9948,18.9948,18.5948,38.9948,38.9948,39.9948,34.9948,34.9948,37.4948,31.9948,38.9948,27.9948
1997-02-07,25.3448,25.3448,25.3448,25.3448,23.9948,38.9948,38.9948,38.9948,41.9948,44.9948,21.8948,33.5608,23.9948,18.4948,18.4948,18.4948,18.4948,18.4948,34.0948,34.0948,21.8948,41.9948,33.5608,18.9948
1997-02-08,25.9948,25.9948,25.9948,25.9948,23.9948,30.9948,33.5198,34.0948,34.0948,44.9948,19.8948,23.9948,23.9948,17.9948,17.9948,17.9948,17.9948,17.9948,32.6448,34.0948,33.5198,31.9948,41.9948,22.9948
1997-02-09,29.9948,25.9948,25.9948,25.9948,25.9948,29.9948,29.9948,29.9948,32.9948,32.9948,18.9948,18.9948,18.4948,32.9698,32.9698,32.9698,29.9948,29.9948,30.9948,32.9698,31.9948,32.9948,29.9948,22.9948
1997-02-10,22.5948,20.9948,29.4278,29.4278,29.9948,29.9948,41.9948,38.9948,38.9948,19.9948,20.9948,20.9948,21.9948,38.9948,38.9948,38.9948,38.9948,19.4948,32.4948,32.4948,29.4278,31.9948,29.4278,19.4948
1997-02-11,22.5948,22.5948,19.9948,19.9948,24.9948,28.9948,30.3298,28.9948,32.9948,41.9948,19.9948,19.9948,18.9948,40.1948,32.9948,30.3298,32.9948,30.3298,29.9948,30.3298,29.9948,41.9948,30.3298,19.9948
1997-02-12,22.4948,18.9948,18.9948,18.9948,20.9948,23.8878,21.9948,17.9948,18.9948,23.8878,17.9948,23.8878,17.9948,32.9948,27.6448,27.6448,18.9948,17.9948,28.9948,28.9948,18.9948,23.8878,18.9948,17.9948
1997-02-13,22.4948,17.9948,17.9948,17.9948,20.9948,32.9948,17.9948,17.9948,17.9948,17.9948,32.0948,38.9948,32.0948,41.9948,39.9948,40.1948,41.9948,17.9948,27.9948,27.9948,18.9948,41.9948,32.0948,17.9948
