0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1996-01-01,25.0,18.0,18.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1.074,1.073,6.0,28.0,28.0,12.0,9.0,12.0,12.0
1996-01-02,10.0,10.0,10.0,10.0,10.0,13.0,10.0,13.7,20.0,29.728,29.728,30.0,13.44,13.44,12.0,12.0,12.0,12.0,15.0,20.0,14.3,12.0,25.0,12.0
1996-01-03,12.0,10.0,10.0,10.0,12.0,13.0,21.2,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,10.0,10.0,10.0,15.0,15.0,30.92,12.0,30.0,10.999
1996-01-04,12.8,13.0,12.0,12.0,13.0,13.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,20.0,20.0,20.0,40.0,40.0,32.0,15.0,20.0,13.0
1996-01-05,18.0,17.0,17.0,17.0,18.0,18.0,20.0,35.0,40.0,40.0,40.0,40.0,40.0,40.0,35.0,15.0,15.0,15.0,40.0,40.0,30.0,18.0,20.0,18.0
1996-01-06,14.0,12.0,12.0,12.0,14.0,14.3,20.0,30.0,40.0,40.0,40.0,40.0,40.0,40.0,30.0,14.0,14.0,14.0,28.0,40.0,28.0,21.0,20.0,14.0
1996-01-07,20.0,20.0,20.0,20.0,20.0,20.0,23.0,23.0,30.0,23.0,23.0,23.0,23.0,20.0,20.0,20.0,20.0,23.0,40.0,40.0,40.0,40.0,30.0,20.0
1996-01-08,14.9,14.0,14.0,14.0,14.0,14.0,20.0,20.0,30.0,35.0,40.0,40.0,40.0,20.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,18.0,20.0,18.0
1996-01-09,20.0,20.0,20.0,20.0,20.0,20.0,30.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,30.0,35.0,20.0,41.0,41.0,30.0,20.0,30.0,20.0
1996-01-10,25.0,25.0,25.0,25.0,25.0,25.0,33.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,47.964,48.0,32.0,30.0,30.0,25.0
1996-01-11,26.0,26.0,26.0,26.0,30.0,35.0,37.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,40.0,40.0,40.0,38.0,48.0,49.876,48.0,40.0,40.0,30.0
1996-01-12,35.0,30.0,28.0,30.0,35.0,40.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,40.0,40.0,30.0,45.0,50.0,45.0,40.0,40.0,38.0
1996-01-13,35.0,35.0,28.0,30.0,35.0,35.0,40.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,25.0,25.0,25.0,45.0,45.0,40.0,40.0,48.0,40.0
1996-01-14,18.0,15.0,15.0,15.0,15.0,16.0,35.0,35.0,45.0,35.0,35.0,35.0,40.0,40.0,17.8,16.0,17.8,18.0,35.0,35.0,35.0,35.0,16.0,16.0
1996-01-15,25.0,20.0,19.9,19.9,25.0,25.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,25.0,25.0,25.0,35.0,35.0,35.0,25.0,30.0,25.0
1996-01-16,25.0,25.0,25.0,25.0,25.0,26.0,40.0,40.0,45.0,45.0,25.0,25.0,50.0,28.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,25.0
1996-01-17,25.0,25.0,25.0,25.0,25.0,25.0,38.0,45.0,45.0,45.0,25.0,25.0,29.728,22.0,22.0,22.0,22.0,22.0,25.0,25.0,27.0,22.0,30.0,22.0
1996-01-18,20.0,20.0,20.0,20.0,20.0,20.0,38.0,42.0,45.0,45.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,23.2,46.777,18.0,22.0,15.0,15.0
