0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2021-01-01,142.31,142.31,142.31,142.31,142.31,142.31,128.31,128.31,128.31,142.31,142.31,142.31,153.31,153.31,153.31,153.31,153.31,153.31,198.31,199.31,198.31,168.31,153.31,153.31
2021-01-02,86.12,85.27,86.12,86.12,86.12,86.12,86.11,90.96,101.96,147.96,147.96,139.96,147.96,147.96,147.96,147.96,147.96,147.96,188.96,188.96,188.96,147.96,147.96,139.96
2021-01-03,128.16,128.16,128.16,128.16,128.16,128.16,100.16,100.16,128.16,128.16,128.16,128.16,138.16,138.16,138.16,138.16,138.16,138.16,167.16,199.16,167.16,167.16,167.16,128.16
2021-01-04,126.46,126.46,126.46,126.46,126.46,134.17,126.46,143.46,143.46,157.46,157.46,166.46,166.46,166.46,166.46,166.46,166.46,157.46,198.46,198.46,166.46,166.46,157.46,139.46
2021-01-05,146.45,146.45,146.45,146.45,146.45,146.45,146.45,168.45,168.45,168.45,176.45,176.45,188.45,188.45,188.45,188.45,176.45,176.45,188.45,228.45,188.45,176.45,168.45,168.45
2021-01-06,169.23,169.23,169.23,155.09,163.21,169.23,169.23,169.23,169.23,173.23,188.23,197.23,197.23,197.23,197.23,197.23,197.23,188.23,197.23,197.23,197.23,197.23,173.23,169.23
2021-01-07,169.38,169.38,169.38,169.38,169.38,169.38,169.38,169.38,177.38,177.38,177.38,177.38,181.49,181.49,181.49,181.49,177.38,177.38,181.49,181.49,181.49,177.38,177.38,170.38
2021-01-08,170.82,170.82,149.73,147.82,147.82,155.8,155.8,170.82,170.82,170.82,183.82,183.82,183.82,183.82,183.82,183.82,183.82,183.82,183.82,183.82,183.82,183.82,170.82,170.82
2021-01-09,115.61,115.61,115.61,115.61,115.61,115.61,115.61,171.61,171.61,171.61,171.61,173.61,173.61,173.61,171.61,171.61,171.61,171.61,173.61,173.61,173.61,171.61,171.61,171.61
2021-01-10,166.16,166.16,149.07,112.16,112.16,112.16,112.16,112.16,134.04,166.16,166.16,166.16,166.16,166.16,166.16,166.16,166.16,166.16,171.16,171.16,171.16,171.16,166.16,166.16
2021-01-11,156.54,156.54,156.54,156.54,156.54,156.54,156.54,156.54,156.54,156.54,156.54,156.54,156.54,156.54,156.54,156.54,156.54,165.54,165.54,165.54,165.54,165.54,165.54,156.54
2021-01-12,115.84,115.84,115.84,115.84,115.84,115.84,115.84,118.84,118.84,123.84,144.84,153.84,153.84,153.84,166.84,148.75,153.84,133.72,166.84,166.84,166.84,144.84,123.84,118.84
2021-01-13,115.93,115.93,115.93,115.93,115.93,115.93,117.43,118.43,118.43,118.43,144.43,149.43,149.43,149.43,149.43,149.43,149.43,144.43,149.43,166.43,149.43,144.43,118.43,118.43
2021-01-14,118.49,118.49,118.49,118.49,118.49,118.49,118.49,118.49,124.49,131.42,146.49,154.49,160.49,154.49,160.49,160.49,154.49,145.49,154.49,154.49,154.49,145.49,124.49,118.49
2021-01-15,135.79,135.79,135.79,123.89,123.89,135.79,138.79,144.19,144.19,144.19,155.79,155.79,178.79,155.79,178.79,178.79,155.79,144.19,155.79,178.79,155.79,155.79,144.19,143.79
2021-01-16,144.45,144.45,144.45,144.45,136.45,136.45,136.45,136.45,144.45,144.45,146.15,147.45,147.45,147.45,147.45,146.15,144.45,144.45,147.45,158.55,147.45,146.15,144.45,143.65
2021-01-17,157.82,157.82,148.32,148.32,148.32,148.32,145.62,145.62,148.32,157.82,158.62,161.72,161.72,161.72,161.72,161.72,158.62,158.62,161.72,188.62,168.62,168.62,161.72,158.62
2021-01-18,153.1,153.1,130.33,123.7,130.33,153.1,160.4,171.4,177.4,177.4,186.4,188.4,188.4,208.4,208.4,208.4,186.4,177.4,186.4,188.4,188.4,186.4,177.4,177.4
2021-01-19,176.43,176.43,176.43,168.43,168.43,176.43,176.43,176.43,176.43,176.43,177.53,181.43,181.43,181.43,195.43,195.43,181.43,177.53,181.43,195.43,181.43,181.43,176.43,176.43
2021-01-20,179.36,179.36,168.86,168.86,168.86,179.36,180.36,184.36,188.36,188.36,198.36,198.36,207.36,207.36,207.36,207.36,198.36,198.36,207.36,208.36,207.36,198.36,198.36,184.36
2021-01-21,178.29,178.29,178.29,178.29,178.29,183.19,191.29,191.29,191.29,207.29,208.29,213.29,213.29,213.29,213.29,213.29,213.29,207.29,213.29,213.29,213.29,213.29,191.29,191.29
2021-01-22,204.01,204.01,204.01,199.43,204.01,204.01,204.01,213.01,213.01,213.01,213.01,214.01,214.01,214.01,214.01,214.01,213.01,213.01,214.01,214.01,214.01,213.01,213.01,213.01
2021-01-23,209.43,209.43,209.43,207.33,209.43,209.43,209.43,209.43,209.43,212.23,260.33,275.33,275.33,275.33,260.33,212.23,212.23,212.23,275.33,290.33,290.33,260.33,209.43,209.43
2021-01-24,195.09,195.09,195.09,195.09,195.09,195.09,195.09,195.09,209.59,209.59,209.59,209.59,209.59,209.59,209.59,209.59,209.59,209.59,259.09,288.09,288.09,288.09,209.59,209.59
2021-01-25,233.07,233.07,233.07,233.07,233.07,233.07,233.07,252.57,252.57,252.57,252.57,252.57,252.57,252.57,252.57,252.57,252.57,252.57,252.57,252.57,252.57,252.57,252.57,247.07
2021-01-26,228.6,228.6,228.6,228.6,228.6,228.6,228.6,228.6,233.1,239.85,246.1,248.1,253.1,253.1,253.1,253.1,253.1,246.1,253.1,253.1,253.1,248.1,233.1,228.6
2021-01-27,229.13,229.13,229.13,229.13,229.13,229.13,229.13,229.13,235.13,236.13,236.13,236.13,236.13,236.13,236.13,236.13,236.13,236.13,236.13,245.13,245.13,236.13,236.13,235.13
2021-01-28,207.65,207.65,207.65,207.65,208.65,208.65,208.65,223.65,235.65,236.65,236.65,243.65,243.65,258.65,258.65,258.65,258.65,236.65,258.65,299.65,258.65,243.65,235.65,223.65
2021-01-29,206.15,206.15,206.15,206.15,206.15,206.15,206.65,218.15,218.15,220.15,223.15,235.15,223.15,235.15,235.15,235.15,223.15,223.15,235.15,235.15,235.15,223.15,218.15,217.15
2021-01-30,218.18,198.18,198.18,198.18,198.18,202.56,218.18,224.18,225.18,227.18,228.18,228.18,232.68,228.18,228.18,228.18,228.18,228.18,232.68,232.68,232.68,228.18,225.18,218.18
2021-01-31,208.13,208.13,208.13,206.63,206.63,206.63,206.63,206.63,208.13,208.13,208.13,208.13,224.13,224.13,224.13,224.13,224.13,224.13,226.13,226.63,226.63,226.63,225.13,208.13
2021-02-01,222.23,222.23,222.23,222.23,222.23,222.23,222.23,227.13,227.13,234.23,234.23,242.23,242.23,242.23,242.23,277.23,242.23,236.23,242.23,277.23,277.23,242.23,234.23,227.13
2021-02-02,228.31,228.81,228.31,228.31,228.31,240.31,240.31,257.31,347.31,276.31,276.31,277.31,347.31,277.31,347.31,347.31,277.31,276.31,277.31,347.31,347.31,277.31,276.31,257.31
2021-02-03,236.65,236.65,236.65,236.65,236.65,238.15,238.15,238.15,248.65,267.65,357.65,357.65,357.65,357.65,358.65,357.65,357.65,248.65,267.65,357.65,357.65,248.65,238.65,238.15
2021-02-04,237.58,237.58,237.58,237.58,237.58,237.58,237.58,245.58,254.48,257.68,257.68,266.68,266.68,273.68,273.68,273.68,273.68,257.68,266.68,273.68,273.68,266.68,257.68,245.58
2021-02-05,243.69,243.69,242.69,242.69,242.69,243.69,243.69,243.69,245.69,245.69,251.19,251.19,266.69,251.19,259.69,259.69,251.19,245.69,251.19,259.69,266.69,266.69,245.69,243.69
2021-02-06,246.22,246.22,244.22,244.22,244.22,244.22,244.22,257.22,259.72,262.22,272.72,272.72,272.72,272.72,272.72,272.72,272.72,272.72,272.72,272.72,272.72,272.72,257.22,257.22
2021-02-07,253.71,253.71,240.71,240.71,240.71,240.71,240.71,240.71,240.71,253.71,253.71,256.21,276.71,276.71,261.71,261.71,256.21,253.71,276.71,279.71,279.71,277.71,276.71,261.71
2021-02-08,262.76,249.76,249.76,249.76,262.76,262.76,262.76,266.26,279.76,284.76,285.76,289.76,289.76,289.76,289.76,297.76,289.76,285.76,285.76,289.76,289.76,285.76,284.76,262.76
2021-02-09,271.66,271.66,271.66,271.66,271.66,271.66,271.66,276.66,287.16,287.16,289.66,307.66,307.66,307.66,307.66,307.66,307.66,287.16,307.66,307.66,307.66,289.66,277.66,274.56
2021-02-10,279.66,279.66,279.66,279.66,279.66,279.66,279.66,279.66,285.16,285.16,285.16,288.66,319.66,319.66,319.66,319.66,319.66,285.16,319.66,321.66,319.66,288.66,285.16,279.66
2021-02-11,283.65,283.65,283.65,284.65,283.65,283.65,284.65,284.65,284.65,290.65,297.65,297.65,297.65,297.65,305.15,305.15,297.65,297.65,297.65,305.15,297.65,297.65,290.65,284.65
2021-02-12,266.67,266.67,266.67,266.67,266.67,266.67,266.67,284.67,287.67,287.67,287.67,308.67,308.67,308.67,328.67,327.67,304.67,286.67,308.67,327.67,308.67,287.67,284.67,284.67
2021-02-13,286.64,286.64,283.64,273.64,273.64,251.64,251.64,273.64,283.64,286.64,287.64,286.64,286.64,287.64,286.64,286.64,286.64,283.64,286.64,287.64,286.64,286.64,283.64,251.64
2021-02-14,246.97,246.97,236.96,236.96,236.96,236.96,236.96,236.96,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,289.97,297.97,297.97,297.97,266.96,246.97
2021-02-15,236.82,236.82,236.82,236.82,236.82,236.82,249.54,261.82,261.82,261.82,266.82,322.82,322.82,322.82,346.82,346.82,322.82,295.82,322.82,346.82,322.82,322.82,266.82,261.82
2021-02-16,236.86,236.86,236.86,236.86,236.86,249.58,257.86,280.86,296.76,296.76,296.76,296.76,296.76,296.76,376.86,376.86,296.76,296.76,296.76,376.86,376.86,296.76,296.76,280.86
2021-02-17,256.99,256.99,255.99,255.99,255.99,257.99,257.99,261.89,261.89,261.89,296.89,296.89,296.99,296.99,378.99,378.99,378.99,296.89,378.99,378.99,378.99,378.99,261.89,261.89
2021-02-18,254.42,254.42,254.42,254.42,254.42,254.42,257.42,260.42,262.22,262.22,262.42,307.32,307.32,262.42,307.32,307.32,262.42,262.22,307.32,307.32,262.22,262.22,262.22,262.22
2021-02-19,255.75,255.75,255.75,255.75,255.75,255.75,255.75,255.75,257.75,257.75,265.75,265.75,290.75,290.75,290.75,290.75,290.75,261.75,290.75,308.75,308.75,265.75,257.75,255.75
2021-02-20,253.92,253.92,253.92,253.92,254.92,253.92,253.92,258.92,264.92,264.92,264.92,264.92,264.92,264.92,264.92,264.92,264.92,264.92,290.92,336.45,290.92,264.92,264.92,258.92
2021-02-21,257.51,252.51,252.51,252.51,252.51,252.51,257.51,252.51,252.51,257.51,258.51,266.51,266.51,266.51,266.51,266.51,258.51,258.51,266.51,266.51,266.51,266.51,266.51,266.51
2021-02-22,237.66,237.66,237.66,237.66,237.66,237.88,246.66,256.66,258.66,287.66,292.66,309.66,292.66,292.66,309.66,309.66,309.66,287.66,292.66,309.66,309.66,287.66,258.66,256.66
2021-02-23,228.18,228.18,228.18,228.18,228.18,228.18,228.18,229.18,246.18,246.18,278.22,298.18,298.18,298.18,298.18,298.18,298.18,298.18,298.68,313.22,298.18,298.18,243.18,229.18
2021-02-24,232.46,232.46,232.46,232.46,232.46,233.88,240.46,248.46,248.46,248.46,252.46,252.46,254.46,254.46,254.46,256.46,254.46,252.46,254.46,256.46,254.46,252.46,248.46,248.46
2021-02-25,236.49,236.49,236.49,236.49,236.49,236.49,236.49,247.49,257.49,257.49,257.49,257.49,257.49,257.49,257.49,257.49,257.49,257.49,257.49,277.49,257.49,257.49,257.49,242.49
2021-02-26,251.37,251.37,251.37,251.37,251.37,251.37,251.37,257.37,257.37,257.37,287.37,317.37,308.37,308.37,317.37,317.37,308.37,287.37,317.37,317.37,308.37,287.37,257.37,257.37
2021-02-27,255.81,252.31,252.31,252.31,252.31,252.31,252.31,255.81,255.81,255.81,267.31,259.81,259.81,259.81,255.81,255.81,255.81,255.81,259.81,259.81,259.81,255.81,255.81,252.31
2021-02-28,229.79,229.79,229.79,229.79,229.79,229.79,186.79,227.78,229.79,229.79,229.79,229.79,241.79,229.79,229.79,229.79,229.79,229.79,246.79,253.79,246.79,246.79,229.79,229.79
2021-03-01,111.18,111.18,111.18,111.18,111.18,161.18,204.86,243.18,243.18,251.18,251.18,251.18,251.18,251.18,261.18,261.18,251.18,251.18,261.18,261.18,261.18,251.18,251.18,243.18
2021-03-02,210.51,210.51,200.51,200.51,200.51,200.51,210.51,210.51,210.51,217.51,230.51,231.51,231.51,230.51,230.51,230.51,230.51,217.51,230.51,235.51,230.51,217.51,210.51,210.51
2021-03-03,153.84,181.86,181.86,181.86,181.86,181.86,181.86,201.36,213.86,213.86,213.86,213.86,213.86,213.86,213.86,213.86,213.86,213.86,213.86,213.86,213.86,213.86,207.36,191.86
2021-03-04,115.78,152.78,115.78,152.78,152.78,152.78,152.78,154.76,192.28,192.28,192.78,202.78,197.24,197.24,202.78,202.78,202.78,192.28,202.78,202.78,192.78,192.28,192.28,192.28
2021-03-05,179.13,179.13,162.75,149.63,143.09,179.13,179.13,179.13,179.13,179.13,179.63,194.58,255.13,255.13,260.13,255.13,198.52,179.13,255.13,260.63,255.13,179.13,179.13,179.13
2021-03-06,157.97,157.97,154.97,154.97,157.97,157.97,157.97,157.97,157.97,199.47,199.47,199.97,199.97,199.47,199.47,199.47,176.97,176.97,199.97,249.97,199.97,199.47,157.97,157.97
2021-03-07,155.33,155.33,155.33,155.33,155.33,155.33,155.33,155.33,157.83,171.31,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,183.33,195.33,195.33,183.33,183.33,183.33
2021-03-08,140.15,140.15,140.15,140.15,140.15,148.15,148.15,148.15,153.15,240.15,240.15,240.15,240.15,240.15,250.15,250.15,250.15,200.15,250.15,250.15,250.15,240.15,148.15,148.15
2021-03-09,141.21,139.71,139.71,139.71,139.71,141.21,141.21,156.71,156.71,156.71,156.71,220.71,220.71,220.71,220.71,220.71,220.71,171.69,260.71,240.71,260.71,173.69,156.71,156.71
2021-03-10,139.78,139.78,139.78,139.78,139.78,141.28,152.28,152.28,152.28,152.28,171.26,215.28,215.28,215.28,215.28,215.28,215.28,171.26,215.28,215.28,215.28,152.28,152.28,152.28
2021-03-11,130.09,130.09,130.09,130.09,130.09,130.09,131.09,131.09,150.09,150.09,157.09,214.09,214.09,214.09,214.09,214.09,214.09,150.09,215.09,215.09,215.09,157.09,150.09,131.09
2021-03-12,135.09,135.09,128.09,128.09,135.09,148.09,157.09,157.09,157.09,157.09,171.07,214.09,214.09,214.09,214.09,235.09,173.07,157.09,235.09,214.09,235.09,157.09,157.09,157.09
